name,img,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
Ella Village Inn,https://cf.bstatic.com/xdata/images/hotel/square200/81539581.webp?k=7ad048ea554edf90e9640f88ad340b2e11054de8be779610951c494269edc2b7&o=," 6,241","1 night, 1 adult",Basic Triple Room,"2 beds
(1 single, 1 double)",7.2,Good,66 reviews,https://www.booking.com/hotel/lk/ella-holiday-inn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=36165403_267500397_3_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=54&highlighted_blocks=36165403_267500397_3_42_0&hpos=4&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=36165403_267500397_3_42_0__3167&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1hbg0yZdB&from=searchresults;highlight_room=#hotelTmpl
Udayanga Guest House,https://cf.bstatic.com/xdata/images/hotel/square200/244098451.webp?k=5cd75b34cd23694347b19ffaa0e9cc091471b1bc986343f93c19f839ed3f3114&o=, 709,"1 night, 1 adult",Single Bed in Mixed Dormitory Room,1 bunk bed,8,Very good,306 reviews,https://www.booking.com/hotel/lk/udayanga-guest-and-pub.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=230563305_265192217_0_0_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=55&highlighted_blocks=230563305_265192217_0_0_0&hpos=5&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=230563305_265192217_0_0_0__360&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1O8GS86nL&from=searchresults;highlight_room=#hotelTmpl
New Blue Home,https://cf.bstatic.com/xdata/images/hotel/square200/246952076.webp?k=5c1ed5a10afab0671e8b2984e4e444db4b91c50bbde53c9d848eaeb9f07e62f7&o=," 4,748","1 night, 1 adult",Deluxe Triple Room,"2 beds
(1 single, 1 extra-large double)",9,Superb,204 reviews,https://www.booking.com/hotel/lk/new-blue-home.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=166675319_244677720_1_34_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=56&highlighted_blocks=166675319_244677720_1_34_0&hpos=6&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=166675319_244677720_1_34_0__2410&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1GnMpecdA&from=searchresults;highlight_room=#hotelTmpl
Rest Full Homestay,https://cf.bstatic.com/xdata/images/hotel/square200/291950831.webp?k=22587e8189b3ae5ab2fb26be14b4c4ace56b9da4c469fabaa2355e659a3e4526&o=," 3,989","1 night, 1 adult",Double Room,1 large double bed,9.4,Superb,304 reviews,https://www.booking.com/hotel/lk/rest-full-homestay.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=143204902_101821197_1_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=57&highlighted_blocks=143204902_101821197_1_2_0&hpos=7&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=143204902_101821197_1_2_0__2025&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1jQbEqT9H&from=searchresults;highlight_room=#hotelTmpl
Ella Green Cottages,https://cf.bstatic.com/xdata/images/hotel/square200/218486019.webp?k=312e3d14aab7a95a7354660cef66b284ddc2e0c29820f70a6d2f12d68d59458f&o=," 5,674","1 night, 1 adult",Single Room with Mountain View,1 single bed,7.9,Good,179 reviews,https://www.booking.com/hotel/lk/ella-green-cottages.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=146756812_191017458_1_41_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=59&highlighted_blocks=146756812_191017458_1_41_0&hpos=9&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=146756812_191017458_1_41_0__2880&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1Gxto0932&from=searchresults;highlight_room=#hotelTmpl
Happy Laugh Mountain View Inn,https://cf.bstatic.com/xdata/images/hotel/square200/196556344.webp?k=9b34733e6e383e05a2e217833e06dd0620ddff44bf7593164f2eabad7f3abcf6&o=," 1,223","1 night, 1 adult",Single Bed in Female Dormitory Room,1 single bed,8.1,Very good,401 reviews,https://www.booking.com/hotel/lk/happy-laugh-hostel-ella12.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=347241325_209125650_1_41_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=60&highlighted_blocks=347241325_209125650_1_41_0&hpos=10&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=347241325_209125650_1_41_0__621&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1RPnx0Rbi&from=searchresults;highlight_room=#hotelTmpl
Nine Arch Gap,https://cf.bstatic.com/xdata/images/hotel/square200/208669543.webp?k=f30f83ebfc0e92d1158d5de268a47cabc87816761bc639a8a147bfdf3f13c431&o=," 8,865","1 night, 1 adult",Budget Double Room,1 extra-large double bed,9,Superb,86 reviews,https://www.booking.com/hotel/lk/nine-arch-gap.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=171001801_221041199_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=61&highlighted_blocks=171001801_221041199_2_1_0&hpos=11&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=171001801_221041199_2_1_0__4500&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1dfoGBmsQ&from=searchresults;highlight_room=#hotelTmpl
Ella Okreech Cottages,https://cf.bstatic.com/xdata/images/hotel/square200/31082474.webp?k=7c172712b62a3ac7f0ba90a9d00c3d3539d2240f19e7d463fcea37b72a06443a&o=," 5,069","1 night, 1 adult",Double Room,1 extra-large double bed,8.6,Fabulous,577 reviews,https://www.booking.com/hotel/lk/ella-okreech-cottages.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=69758902_265177671_1_0_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=62&highlighted_blocks=69758902_265177671_1_0_0&hpos=12&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=69758902_265177671_1_0_0__2573&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1XPB02IO4&from=searchresults;highlight_room=#hotelTmpl
Green Lantern Inn,https://cf.bstatic.com/xdata/images/hotel/square200/206857849.webp?k=de265ddc02dc11adbf66a1317218092f518a4cdabcbbc0d8d7988ad0af3b7267&o=," 2,344","1 night, 1 adult",Standard Double Room,1 double bed,9,Superb,267 reviews,https://www.booking.com/hotel/lk/green-lantern-inn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=153414502_233970903_2_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=63&highlighted_blocks=153414502_233970903_2_42_0&hpos=13&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=153414502_233970903_2_42_0__1190&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v10Fzr0WuF&from=searchresults;highlight_room=#hotelTmpl
Ella Cottage 219 V,https://cf.bstatic.com/xdata/images/hotel/square200/216404283.webp?k=8054a13bb1263a75e3f61b4465c7f600eae08ea66d974263e57bccec74bac961&o=," 3,428","1 night, 1 adult",Family Room with Mountain View,2 large double beds,9.7,Exceptional,34 reviews,https://www.booking.com/hotel/lk/ella-cottage-219-v.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=551126101_203027404_1_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=64&highlighted_blocks=551126101_203027404_1_1_0&hpos=14&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=551126101_203027404_1_1_0__1740&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1Q16E_oR7&from=searchresults;highlight_room=#hotelTmpl
Hi Lanka Backpackers,https://cf.bstatic.com/xdata/images/hotel/square200/158266785.webp?k=7814a1c36e853f5db9bc40ed66412e77fb12c2d2baca589b96c4408891751e1e&o=," 1,064","1 night, 1 adult",Bed in 4-Bed Female Dormitory Room,1 bunk bed,8.4,Very good,422 reviews,https://www.booking.com/hotel/lk/hi-lanka-backpackers.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=378818615_120654269_0_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=65&highlighted_blocks=378818615_120654269_0_1_0&hpos=15&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=378818615_120654269_0_1_0__540&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v17uHHwYWp&from=searchresults;highlight_room=#hotelTmpl
Lakshmis Hotel Ella,https://cf.bstatic.com/xdata/images/hotel/square200/94857332.webp?k=e54134b5ec8b7edcb0609d30ee0879a95e533ab72567801f83a33468bc7c1a67&o=," 10,993","1 night, 1 adult",Double Room,1 large double bed,8.7,Fabulous,132 reviews,https://www.booking.com/hotel/lk/lakshmis-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=154017001_265529356_1_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=67&highlighted_blocks=154017001_265529356_1_1_0&hpos=17&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=154017001_265529356_1_1_0__5580&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v14lI3u9GP&from=searchresults;highlight_room=#hotelTmpl
Saddle Cottage,https://cf.bstatic.com/xdata/images/hotel/square200/172914477.webp?k=10bc3a260da4caae6e94c5689218b8d0e2ef62cfa13d61b796b5c50c9674abda&o=," 8,865","1 night, 1 adult",Standard Double Room,1 large double bed,9.4,Superb,94 reviews,https://www.booking.com/hotel/lk/saddle-cottage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=242368701_105967684_2_33_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=68&highlighted_blocks=242368701_105967684_2_33_0&hpos=18&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=242368701_105967684_2_33_0__4500&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1rYHUUbpi&from=searchresults;highlight_room=#hotelTmpl
Shining Green View,https://cf.bstatic.com/xdata/images/hotel/square200/228043142.webp?k=508f49ea293282c2a2d537a5585415fe3a3583e551ff15fbd9268949c9ce75e7&o=," 3,546","1 night, 1 adult",Triple Room with Mountain View,"2 beds
(1 single, 1 extra-large double)",9.7,Exceptional,69 reviews,https://www.booking.com/hotel/lk/shining-green-view.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=582070101_230895172_1_41_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=69&highlighted_blocks=582070101_230895172_1_41_0&hpos=19&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=582070101_230895172_1_41_0__1800&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1EWakVlOd&from=searchresults;highlight_room=#hotelTmpl
Villa Nine Arch Ella,https://cf.bstatic.com/xdata/images/hotel/square200/209361998.webp?k=5f1eb331fd356eff44c2b9a5e17ff0cf1f33e9f3385a729dbe50018cd00fc91b&o=," 6,895","1 night, 1 adult",Deluxe Room,1 large double bed,9.2,Superb,41 reviews,https://www.booking.com/hotel/lk/villa-nine-arch-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=218484101_117971013_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=70&highlighted_blocks=218484101_117971013_2_1_0&hpos=20&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=218484101_117971013_2_1_0__3500&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v15KFu4o_U&from=searchresults;highlight_room=#hotelTmpl
BBQ HUB Ella,https://cf.bstatic.com/xdata/images/hotel/square200/137446479.webp?k=44c4c101408646ecc035f7716a45ed967bd2b14b8a677b0fe7ddd6ab71aa3ab3&o=," 6,330","1 night, 1 adult",Bunk Bed in Mixed Dormitory Room,2 single beds,8.4,Very good,508 reviews,https://www.booking.com/hotel/lk/bbq-hub-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=332672104_265168943_1_41_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=71&highlighted_blocks=332672104_265168943_1_41_0&hpos=21&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=332672104_265168943_1_41_0__3213&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1n4PQBaq5&from=searchresults;highlight_room=#hotelTmpl
The Chillout Ella,https://cf.bstatic.com/xdata/images/hotel/square200/152624781.webp?k=5fcf44d9d80dd9f4caee3aba53d6f3ca7d67d3cc17f7c886f5b41ab36f6289ea&o=," 8,865","1 night, 1 adult",Double Room with Mountain View,1 extra-large double bed,9.4,Superb,409 reviews,https://www.booking.com/hotel/lk/the-chillout-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=117081802_272212684_0_33_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=72&highlighted_blocks=117081802_272212684_0_33_0&hpos=22&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=117081802_272212684_0_33_0__4500&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1q4D7roY5&from=searchresults;highlight_room=#hotelTmpl
The soorya guest inn,https://cf.bstatic.com/xdata/images/hotel/square200/285494675.webp?k=c2213c9abf0f7656993c343f2b23d6ff26b69c7ef48c66b0904cbf567cd177a4&o=," 1,970","1 night, 1 adult",Budget Double Room,2 single beds,9.2,Superb,5 reviews,https://www.booking.com/hotel/lk/the-soorya-guest-inn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=674505601_276382576_0_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=73&highlighted_blocks=674505601_276382576_0_42_0&hpos=23&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=674505601_276382576_0_42_0__1000&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v11niOdmoW&from=searchresults;highlight_room=#hotelTmpl
Different View,https://cf.bstatic.com/xdata/images/hotel/square200/118909881.webp?k=d04bca2f58f45bf311fc8122459ce3405e06bc627c3697944ca8f45194723313&o=," 3,546","1 night, 1 adult",Deluxe Double Room with Balcony,1 extra-large double bed,9.2,Superb,181 reviews,https://www.booking.com/hotel/lk/different-view.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=283077901_273402611_0_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=74&highlighted_blocks=283077901_273402611_0_1_0&hpos=24&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=283077901_273402611_0_1_0__1800&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1R8b3gyEp&from=searchresults;highlight_room=#hotelTmpl
Misty Heaven,https://cf.bstatic.com/xdata/images/hotel/square200/238187662.webp?k=6414d1668c9a7551ab4982905794462cf8ba369f6cf9395235070c4e5874480b&o=," 6,304","1 night, 1 adult",Family Room with Balcony,2 large double beds,9.4,Superb,32 reviews,https://www.booking.com/hotel/lk/misty-heaven-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=bd80343f547514fb6bf9abf3f3e79302&all_sr_blocks=607782702_241480301_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=76&highlighted_blocks=607782702_241480301_2_1_0&hpos=1&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=607782702_241480301_2_1_0__3200&srepoch=1621576328&srpvid=706e2943ab26012c&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Alrich Ella,https://cf.bstatic.com/xdata/images/hotel/square200/214895786.webp?k=000e8856eb9ccc49decc080c6239977a7473a53ced0422f3a0008cd3cc3f5760&o=," 6,206","1 night, 1 adult",Double Room,1 extra-large double bed,9.2,Superb,19 reviews,https://www.booking.com/hotel/lk/alrich-inn-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=bd80343f547514fb6bf9abf3f3e79302&all_sr_blocks=463493201_141757071_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=77&highlighted_blocks=463493201_141757071_2_1_0&hpos=2&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=463493201_141757071_2_1_0__3150&srepoch=1621576328&srpvid=706e2943ab26012c&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Ella Secret Paradise,https://cf.bstatic.com/xdata/images/hotel/square200/154388681.webp?k=e1d6dad274c8cef4c6fbaae65ca5fe5231508610a2efc082a0aac1415677b5d1&o=," 2,167","1 night, 1 adult",Deluxe Double Room,1 large double bed,9.9,Exceptional,147 reviews,https://www.booking.com/hotel/lk/ella-secret-paradise.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=bd80343f547514fb6bf9abf3f3e79302&all_sr_blocks=234282501_100828863_2_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=78&highlighted_blocks=234282501_100828863_2_2_0&hpos=3&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=234282501_100828863_2_2_0__1100&srepoch=1621576328&srpvid=706e2943ab26012c&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Ella Breeze Homestay,https://cf.bstatic.com/xdata/images/hotel/square200/189814790.webp?k=501ab5259687b0c792256baf69685d3ba6c886ff5809665b6be2363bc5038332&o=," 3,369","1 night, 1 adult",Double Room with Balcony (2 Adults + 1 Child),1 large double bed,9.7,Exceptional,34 reviews,https://www.booking.com/hotel/lk/sun-39-n-breeze-home-stay.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=bd80343f547514fb6bf9abf3f3e79302&all_sr_blocks=485958501_159410120_1_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=79&highlighted_blocks=485958501_159410120_1_42_0&hpos=4&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=485958501_159410120_1_42_0__1710&srepoch=1621576328&srpvid=706e2943ab26012c&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
